game_id,attendance,team,tie,pk,stage,round,year,date,time,stadium,home,lat,long,referee,booked,url,goals,team_num
1,25000,Italy,False,False,FIRST ROUND,False,1934,27-05-1934 (16:00 h),16:00,Stadio Nazionale del PNF (Roma),Italy,41.926953,12.472197,Ren?ƒ?? Mercet (SWI),,1934_ITALY_FS.htm,7,1
1,25000,USA,False,False,FIRST ROUND,False,1934,27-05-1934 (16:00 h),16:00,Stadio Nazionale del PNF (Roma),Italy,41.926953,12.472197,Ren?ƒ?? Mercet (SWI),,1934_ITALY_FS.htm,1,2
2,16000,Austria,False,False,FIRST ROUND,False,1934,27-05-1934 (16:30 h),16:30,Benito Mussolini (Torino),Italy,45.066251,7.691228,John van Moorsel (NED),,1934_ITALY_FS.htm,3,1
2,16000,France,False,False,FIRST ROUND,False,1934,27-05-1934 (16:30 h),16:30,Benito Mussolini (Torino),Italy,45.066251,7.691228,John van Moorsel (NED),,1934_ITALY_FS.htm,2,2
3,8000,Germany,False,False,FIRST ROUND,False,1934,27-05-1934 (16:30 h),16:30,Giovanni Berta (Firenze),Italy,44.275234,11.722625,Francesco Mattea (ITA),,1934_ITALY_FS.htm,5,1
3,8000,Belgium,False,False,FIRST ROUND,False,1934,27-05-1934 (16:30 h),16:30,Giovanni Berta (Firenze),Italy,44.275234,11.722625,Francesco Mattea (ITA),,1934_ITALY_FS.htm,2,2
4,9000,Czechoslovakia,False,False,FIRST ROUND,False,1934,27-05-1934 (16:30 h),16:30,Stadio del Littorio (Trieste),Italy,45.62243,13.792906,Jean Langenus (BEL),,1934_ITALY_FS.htm,2,1
4,9000,Romania,False,False,FIRST ROUND,False,1934,27-05-1934 (16:30 h),16:30,Stadio del Littorio (Trieste),Italy,45.62243,13.792906,Jean Langenus (BEL),,1934_ITALY_FS.htm,1,2
5,33000,Switzerland,False,False,FIRST ROUND,False,1934,27-05-1934 (16:30 h),16:30,San Siro (Milano),Italy,45.478124,9.123962,Ivan Eklind (SWE),,1934_ITALY_FS.htm,3,1
5,33000,Netherlands,False,False,FIRST ROUND,False,1934,27-05-1934 (16:30 h),16:30,San Siro (Milano),Italy,45.478124,9.123962,Ivan Eklind (SWE),,1934_ITALY_FS.htm,2,2
6,14000,Sweden,False,False,FIRST ROUND,False,1934,27-05-1934 (16:30 h),16:30,Stadio Littoriale (Bologna),Italy,44.494887,11.3426163,Erwin Braun (AUT),,1934_ITALY_FS.htm,3,1
6,14000,Argentina,False,False,FIRST ROUND,False,1934,27-05-1934 (16:30 h),16:30,Stadio Littoriale (Bologna),Italy,44.494887,11.3426163,Erwin Braun (AUT),,1934_ITALY_FS.htm,2,2
7,21000,Spain,False,False,FIRST ROUND,False,1934,27-05-1934 (16:30 h),16:30,Luigi Ferraris (Genova),Italy,44.416409,8.952495,Alfred Birlem (GER),,1934_ITALY_FS.htm,3,1
7,21000,Brazil,False,False,FIRST ROUND,False,1934,27-05-1934 (16:30 h),16:30,Luigi Ferraris (Genova),Italy,44.416409,8.952495,Alfred Birlem (GER),,1934_ITALY_FS.htm,1,2
8,9000,Hungary,False,False,FIRST ROUND,False,1934,27-05-1934 (16:30 h),16:30,Giorgio Ascarelli (Napoli),Italy,40.631067,14.408606,Rinaldo Barlassina (ITA),,1934_ITALY_FS.htm,4,1
8,9000,Egypt,False,False,FIRST ROUND,False,1934,27-05-1934 (16:30 h),16:30,Giorgio Ascarelli (Napoli),Italy,40.631067,14.408606,Rinaldo Barlassina (ITA),,1934_ITALY_FS.htm,2,2
9,23000,Austria,False,False,1/4 FINAL,False,1934,31-05-1934 (16:30 h),16:30,Stadio Littoriale (Bologna),Italy,44.494887,11.3426163,Francesco Mattea (ITA),,1934_ITALY_FS.htm,2,1
9,23000,Hungary,False,False,1/4 FINAL,False,1934,31-05-1934 (16:30 h),16:30,Stadio Littoriale (Bologna),Italy,44.494887,11.3426163,Francesco Mattea (ITA),,1934_ITALY_FS.htm,1,2
10,12000,Czechoslovakia,False,False,1/4 FINAL,False,1934,31-05-1934 (16:30 h),16:30,Benito Mussolini (Torino),Italy,45.066251,7.691228,Alois Beranek (AUT),,1934_ITALY_FS.htm,3,1
10,12000,Switzerland,False,False,1/4 FINAL,False,1934,31-05-1934 (16:30 h),16:30,Benito Mussolini (Torino),Italy,45.066251,7.691228,Alois Beranek (AUT),,1934_ITALY_FS.htm,2,2
11,15000,Germany,False,False,1/4 FINAL,False,1934,31-05-1934 (16:30 h),16:30,San Siro (Milano),Italy,45.478124,9.123962,Rinaldo Barlassina (ITA),,1934_ITALY_FS.htm,2,1
11,15000,Sweden,False,False,1/4 FINAL,False,1934,31-05-1934 (16:30 h),16:30,San Siro (Milano),Italy,45.478124,9.123962,Rinaldo Barlassina (ITA),,1934_ITALY_FS.htm,1,2
12,35000,Italy,False,False,1/4 FINAL,False,1934,31-05-1934 (16:30 h),16:30,Giovanni Berta (Firenze),Italy,44.275234,11.722625,Louis Baert (BEL),,1934_ITALY_FS.htm,1,1
12,35000,Spain,False,False,1/4 FINAL,False,1934,31-05-1934 (16:30 h),16:30,Giovanni Berta (Firenze),Italy,44.275234,11.722625,Louis Baert (BEL),,1934_ITALY_FS.htm,1,2
